Customer_Name,Date,Review
William,03/04/2022,Super duper tasty!
Bart,31/03/2022,"This is the first time I’ve ordered from this restaurant and having read the reviews, my experience was excellent. Great quality of food, hot, decent portions and arrived on time. Thank you and I will be ordering again!"
Xin,29/03/2022,The food wasn't bad but didn't taste as good as Red Onion.
sagar,26/03/2022,"I ordered 4 dishes totalling £24 , didn't even received any salad and a smashed pappadom which I paid for. Appalling"
Bee,20/03/2022,"First time ordering, great food and really authentic. Had Balti Butter which was amazing, one of the best curries I’ve had in a while! Will definitely be going back again"
Dean,15/03/2022,"Really not nice throw in the bin , never ordering from here again , tasted like jar food like from supermarket .. and before dilwar comments back saying it's fresh it's really not compared the korma to a jar I had from local discount supermarket and it was exactly the same consistently. People buy from you cause they want made from strach not shop bought jars . What a waste of time and money"
Hagi,09/03/2022,None
Olorunda,20/02/2022,None
David,19/02/2022,None
Christopher,18/02/2022,None
Wallaa,30/01/2022,None
Hollie,28/01/2022,None
Laura,25/01/2022,None
mevish,21/01/2022,None
Mike,19/01/2022,None
Stephanie,15/01/2022,None
Jenna,13/01/2022,None
Patricia,01/01/2022,"Awful food, sauces all runny and sour, completely ruined other dishes on the plate has to throw it all. Restaurant unhelpful and  refused to let me take the food back and directed me to complain to just eat which I have. Also have to pay out for food somewhere else for family visiting. Very poor, will not use again!"
Kevin,31/12/2021,None
Raz,23/12/2021,None
Anthony,23/12/2021,
Maria,16/12/2021,None
Sandra,04/12/2021,Lovely
Colin,04/12/2021,None
Shaun,01/12/2021,None
Rachel,27/11/2021,Consistently amazing food and the most delicious samosas.
Laura,25/11/2021,None
Kayleigh,24/11/2021,amazing food - thank you
shaun,20/11/2021,None
Wayne,20/11/2021,"Absolutely the worst Indian takeaway I think I’ve ever had!!
Tasteless, dry, overcooked, soggy, RIDICULOUS amount of salt. The whole lot went in the bin after we all tasted it and agreed it was terrible. Does the chef actually taste anything as he cooks it?? No way I’d recommend this to anyone."
Wayne,20/11/2021,"Absolutely the worst Indian takeaway I think I’ve ever had!!
Tasteless, dry, overcooked, soggy, RIDICULOUS amount of salt. The whole lot went in the bin after we all tasted it and agreed it was terrible. Does the chef actually taste anything as he cooks it?? No way I’d recommend this to anyone."
Simon,11/11/2021,None
Ethan,10/11/2021,None
Maria,08/11/2021,None
Swetha,31/10/2021,"Food was well packed and delivered on time.
quality was great."
Olivia,29/10/2021,None
Faisal,27/10/2021,Helpful staffs and so kind. Kudos 👏🏼👏🏼👏🏼
Alex,23/10/2021,"Food quality was great, they did forget my salad but its not the end of the world as it was early and nice and hot!"
Jenna,22/10/2021,None
Austen,09/10/2021,"Gave them a try as the one I usually use for the last few years have gone a bit oily. Everything lovely, nice thick sauce and all as ordered."
Trinea,04/10/2021,None
Jen,17/09/2021,"Delicious, on time and good value."
Rashpal,11/09/2021,None
Semiramis,11/09/2021,None
Maria,11/09/2021,None
Jogeswar,04/09/2021,None
Iffat,30/08/2021,"Really great home made tasting food, great service."
Lija,26/08/2021,The chicken tikka delivered yesterday was too salty. I couldn’t eat it even after washing the chicken. I’m very disappointed. The biriyani was descent
Mohammed,25/08/2021,Even though food arrived 45 mins late I wouldn’t complain about that as not the drivers fault. All the chaos is due to reading festival. Giving 4 stars reason too much oil in chicken karahi. Food was as usual tasty.
Kate,13/08/2021,Chicken was really rubbery dry and tasteless so disappointed
Paula,12/08/2021,Beautiful food with excellent service
Dawn,03/08/2021,Hot when arrived and nice as always
Ansh,02/08/2021,None
Abhishek,29/07/2021,Always great
MY,29/07/2021,"Terrible food all salty SOOO bad never had this before, Lam biryani soooo salty this restaurant should be very ashamed to themselves , they cant cook at all. WASTE OF MONEY will not recommend anymore and anybody"
Nyah,21/07/2021,None
Jogeswar,18/07/2021,None
Imran,13/07/2021,None
Jogeswar,10/07/2021,"I have been ordering from Dilwar for a long time now, food is absolutely delicious as usual, my favourite go to restaurant for good Indian food. I must say about their exceptional service as well. When I placed my order today, the address I selected was different than my current address (Just Eat app did not select the address based on the current location). However, they delivered to the correct address quickly with food being still hot after been to the wrong address, which was quite far. Very much appreciated the extra effort."
Jogeswar,08/07/2021,None
Melis,04/07/2021,"The food tasted flavourless, I hoped it would be good as many people recommended this place... samosas were very dry.. the pilau rice was not good either. Chicken curry was very watery."
Paul,01/07/2021,"Its a long time since I used this Takaway because I have been disappointed in the past. However, this was a completely different experience. Food was really hot, well cooked, meat tender, sauces delicious and plenty of food. I ordered the set meal for two and even through I am a big eater there was sufficient for more modest sized meals for 3. I will definitely use this takeaway again. Keep up the good work.."
Priyanka,30/06/2021,Delicious food 👍
Emmanuella,27/06/2021,None
Hannah,27/06/2021,None
Charlotte,19/06/2021,"I’ve probably tried every curry house in Reading and this is in the top 5.  Well priced, larger than most portion sizes and great flavours where so many others lack."
Steve,12/06/2021,Absolutely delicious!!
Max,11/06/2021,None
Jack,05/06/2021,"Excellent food, quality and taste good. Delivered on time, by polite and friendly gentleman. Great all-round."
Charlie,30/05/2021,Lovely curry
Amarita,29/05/2021,"The food is normally really good here, however tonight there was grit in all 3 curries I purchased. Not edible when it's like you have sand in your mouth. Very disappointing"
talha,29/05/2021,Great food!
Charlotte,24/05/2021,None
Abhishek,23/05/2021,None
Semiramis,19/05/2021,None
Nerisca,15/05/2021,None
Rabaab,14/05/2021,None
Raz,12/05/2021,None
Kiran,10/05/2021,"We always order from dilwar, the food is always good and delivered quickly. The only Indian we order from. :)"
Abhishek,07/05/2021,Always as expected.
Ali,06/05/2021,"Rude manager/delivery driver. Started arguing with me over the phone. Tried to explain to him i cant come outside of my hotel room because im quarantining but he wouldnt understand and started being rude. He then later said customer is not always right and he has too much pressure on his head. Not an excuse to be rude to customers and not give them the service they pay for. Staying well clear from this restaurant, should be removed from JustEat. Appalling!!!"
talha,05/05/2021,None
Laura,03/05/2021,None
Dennis,03/05/2021,"Food quality very good, but late. Will still use as food quality more important."
Nerisca,26/04/2021,None
Rohama,24/04/2021,None
Ellie,21/04/2021,I ordered a Chicken Korma and rice and it was one of the best I’ve had. Smooth and creamy and a very good amount of chicken. Would re order in the future. Thank you
Attila,17/04/2021,Great and tasty food. Definitely order from them again.
Krishna,10/04/2021,Sent wrong order and no refund!
Malar,09/04/2021,None
Dan,05/04/2021,None
Aisha,01/04/2021,"Great food, arrived piping hot and right on time."
Marul,30/03/2021,The food was stale
Dennis,26/03/2021,"Although the food arrived late, the quality was good as usual. Will still keep using."
Luke,20/03/2021,None
sally,17/03/2021,"Everything always lovely, great service"
Nadia,16/03/2021,Perfect!! Thank you
Prashanth,14/03/2021,None
Shiron,05/03/2021,None
hubble,03/03/2021,Disappointing this time. Veg main had seemingly only broccoli and potato in it and sauce was very thick and cloying. Wasn't eaten and most ended up in the bin. Mushroom rice was nice though.
Soliman,02/03/2021,None
Jogeswar,27/02/2021,None
S,22/02/2021,Thanks for following all instructions. The meal was delicious. Well done.
Jogeswar,20/02/2021,None
Charles,20/02/2021,None
Fawzi,18/02/2021,Very delicious food fresh and hot.
soumen,17/02/2021,service and quality are very good. only service charges is too high
Dawn,16/02/2021,Lovely food as always. Arrived hot. Delicious
Jogeswar,13/02/2021,None
Megan,12/02/2021,AMAZING food!!
Krishna,10/02/2021,None
Jilesh,06/02/2021,3 out of the 4 dishes tasted good.  The pindi chicken biriyani was a let down.  It was described as a Pakistan style chicken biriyani.  The chicken was really dry and the whole dish was really bland. No comparison between this dish and  the one available at YaadGaar on Oxford road.
Anthony,03/02/2021,None
Sam,03/02/2021,None
Sharday,02/02/2021,None
Dawn,02/02/2021,Delicious as alway
viv,30/01/2021,None
David,29/01/2021,None
Urbi,25/01/2021,The food was piping hot and was delicious!
Zaneta,24/01/2021,None
Jogeswar,23/01/2021,None
Sue,18/01/2021,I love this place
Jogeswar,16/01/2021,None
Laura,16/01/2021,"Unfortunately the food was inedible and had to be thrown away. It was so salty and the potatoes were not cooked. 

Only leaving this comment as do want other to waste their money. We have ordered here before and enjoyed it but recently noticed a reduction in the food quality."
Sarah,11/01/2021,Tasty and the right kind of spice I like
talha,10/01/2021,None
Lesley,09/01/2021,None
Veenit,08/01/2021,None
Arathy,08/01/2021,Meat was very dry. Too oily curry.
S,30/12/2020,Authentic taste. Followed the requests to make it less oily and adding a specific flavour.
Sandeep,28/12/2020,None
Roger,27/12/2020,None
charan,25/12/2020,Very bad quality of food.
Sandeep,25/12/2020,"Generous portion, appropriately spiced but the chicken felt a bit over cooked."
S,19/12/2020,Followed all requests. Delicious food!
Jen,18/12/2020,None
S,16/12/2020,Delicious! Followed the notes. Thank you. Will order again.
Kina,05/12/2020,None
Don,05/12/2020,"Without doubt one of the top deliverers in Reading.. yes I’ve tried them all but Dilwar has me coming back time and time again.  Great food, great value.. hot and delivered promptly.. perfect.... I’ve tried the rest so you don’t have to!"
Joshna,04/12/2020,None
hubble,02/12/2020,None
Matthew,29/11/2020,None
Sara,24/11/2020,"It is not my first time, the food is delicious and clean. Recommended 👌🏼"
S,24/11/2020,Delicious food. Followed all instructions meticulously with my requests for less oil & extra kasuri methi. Well done & looking forward to my next order.
Krishna,23/11/2020,None
Abhishek,21/11/2020,"Ordered Lamb and Veg biriyani, really well cooked, beautifully spiced. Will order again. Thanks."
Verity,19/11/2020,Lovely food fast delivery seen as we are quite far away
Seb,18/11/2020,Good experience. Will be eating from again soon
Lesley,18/11/2020,None
Aled,15/11/2020,None
Poonam,15/11/2020,The food was delicious. Craving satisfied.
hubble,15/11/2020,None
Gelinde,13/11/2020,None
Anika,12/11/2020,Couldn't eat and threw the order in dustbin because it was very very very spicy
Mark,12/11/2020,Very nice curries - extra poppadom much appreciated.
hubble,08/11/2020,"Great food as always. Aloo Keema, such basic comfort food, but so delicious! Quick, contactless delivery, and friendly driver."
anshul,07/11/2020,None
Lenny,06/11/2020,None
Andy,04/11/2020,None
M,31/10/2020,Food was way too hot (spicy) and far too much pepper was used. Didn't taste nice.
hubble,31/10/2020,None
Helen,30/10/2020,Dilwar has been delivering the best curry for around 20 years and continues to be the best for miles around
agnes,29/10/2020,"The food was great. I enjoyed everything except the prawn starter, just because it wasn't what i was expecting. The rest of the food was absolutely amazing. Really fast delivery. The expected was 50 mins but food arrived in 20. I would recommend."
Rhian,28/10/2020,None
Krishna,23/10/2020,None
Andrii,22/10/2020,None
Brindly,22/10/2020,None
Louise,18/10/2020,Great!
Rajeev,15/10/2020,None
S,14/10/2020,Food was too oily. I have always given a 5-star rating but this time unfortunately the specific request to make it less oily wasn’t followed. I hope you’ll return to the excellent standard you’ve consistently maintained all this while.
Aled,12/10/2020,None
S,12/10/2020,Followed the special instructions perfectly. Delicious food consistently every time that I’ve ordered.
sally,11/10/2020,Everything was delicious and hot.
Haroon,11/10/2020,None
Kimberley,10/10/2020,None
Ellie,09/10/2020,"First time I’ve ordered from here.. A bit disappointing as 40mins late but it was Fri eve. Delivery driver not that friendly and didn’t apologise for being late or say thank you. Food average really, have tasted better so will probably not order again."
Mariam,07/10/2020,None
Syed,07/10/2020,I ordered Lamb Pullao but got Lamb Biryani lamb Nehari was good. There were only 2 dishes in my order and getting 1’wrong shows the restaurant is nothing looking at the order properly It was a bit pricy order
S,07/10/2020,None
Mariam,06/10/2020,None
S,03/10/2020,None
JAIDEEP,02/10/2020,Excellent Food!! Really enjoyed& highly recommended!!
Steen,02/10/2020,"This was excellent especially the main course Chicken Kahari. I have had this menu before from Dilwar and while the previous starter was so-so, this time it was spot on. Thank you."
S,29/09/2020,None
Louise,25/09/2020,"Delicious! Korma, peshwari naan and sag aloo were all great, thanks. Delivered quickly and piping hot"
S,23/09/2020,None
Matt,19/09/2020,Lovely as usual
Steph,19/09/2020,Food tasted as though it was microwave meal equivalent. Food arrived quicker than expected but to me this is not a good thing... All of us thought the food was of poor quality.
S,19/09/2020,None
Saugat,18/09/2020,Food quality too bad.
Ben,18/09/2020,None
Hepsi,17/09/2020,None
S,16/09/2020,None
Dean,08/09/2020,None
Jamie,06/09/2020,None
Ben,04/09/2020,Little late but food was lovely
S,04/09/2020,"Haleem was great on taste, but needed some more meat."
Connor,03/09/2020,None
Kim,31/08/2020,"Always great from here and quick, not disapointed yet once!"
Ben,29/08/2020,"Very tasty, divered on time and nice and hot.  Woyld order again"
Andy,29/08/2020,Very good would order again
Kelly,28/08/2020,None
Lesley,27/08/2020,None
Vilma,27/08/2020,Definitely the best Indian we had in a long time. Food was hot & delicious.  The tastiest peshwari naan ever!
Nigel,08/08/2020,None
Laura,30/07/2020,None
Mark,26/07/2020,I ordered chicken tikka jalfrezi but got just a chicken jalfrezi - food was OK as usual but not what I ordered..
bonnie,24/07/2020,korma was abit too creamy not enough flavour but outstanding quality well cooked
Paul,24/07/2020,"As above, the perfect Friday night takeaway"
Brooke,23/07/2020,None
Chloe,22/07/2020,"First time ordering after a recommendation from a friend and it did not disappoint! The food was on time and still lovely and hot! The food was delicious and the restaurant paid good attention to the requests left in the notes for our order. 
We will definitely be ordering again and recommending to all friends and family in the area!"
Anthony,18/07/2020,None
Sue,17/07/2020,The food I ordered was excellent and tasty woth a go peeps
Peter,13/07/2020,None
kristopher,11/07/2020,None
john,11/07/2020,Absolutely excellent
Lasantha,10/07/2020,None
Syed,06/07/2020,Good food & timely delivery.
Jay,03/07/2020,None
Mark,03/07/2020,Good as always
Shubhendu,01/07/2020,Biryani was just curry and rice mixed together... Pale and no Taste
BECCY,25/06/2020,Best Indian in town
Olorunda,20/06/2020,None
James,20/06/2020,None
Eamonn,19/06/2020,"Absolute rubbish. Dry, bland, never again"
Umer,16/06/2020,None
Abisha,16/06/2020,None
David,13/06/2020,None
Imran,13/06/2020,Love this food excellent service
Raj,13/06/2020,Good prompt service first time i ordered from resteraunt .tasty food.will order again.
john,13/06/2020,None
Trudie,12/06/2020,Food arrived earlier than expected and ghe driver was very friendly. Stood back so i could grab my good with social distancing. The food itself was lovely. I have used Dilwar for about 13 years and has always been very nice. I enjoyed todays more than usual so very pleased and good portion sizes. Would definitely recommend !
Ann,11/06/2020,Fab food as usual will keep coming back!
cheryl,06/06/2020,None
Charlotte,29/05/2020,None
Khadija,28/05/2020,When come no drinks they cost 4 pound and how can you enjoy a meal without a drink very poor service
John,27/05/2020,Portions are large and also large on flavours. Will definitely be eating here again.
Vimal,25/05/2020,Tasty food and food arrived on time
Barbara,24/05/2020,Great food delivery was spot on very pleased with order again from them
Nikos,23/05/2020,None
Scott,23/05/2020,None
Ann,22/05/2020,First time ordering...fab meal giant portions will b coming back!!
Sam,22/05/2020,"The food was enjoyable, there was a large amount of meat in the portions too. The rajma was a bit bland and watery but the methi chicken was very nice."
Leonard,21/05/2020,Good food and there leave it by door so keep 2 meters apart
Kloe,21/05/2020,Far to spicy for what was ordered went in the bin as it was vile will not be ordering again
Shireen,18/05/2020,None
Tefiro,16/05/2020,The chicken was burnt and the food generally tasted abysmal
Mrs,16/05/2020,None
Shireen,14/05/2020,None
David,10/05/2020,"Was 30 minutes late I called said it was halfway whatever that means and the ignored the note I put on to no ring do bell yet they did anyway.

really upset they woke the baby up"
Simon,08/05/2020,None
Edward,07/05/2020,None
Joshna,02/05/2020,None
john,01/05/2020,None
Carla,30/04/2020,None
Lauren,30/04/2020,"Bland food. Food arrived cold and soggy. Onion bhaji was drenched in oil, yet again cold and had fallen to pieces. I would not buy from here again."
Adnan,28/04/2020,None
Lannetha,25/04/2020,None
John,25/04/2020,None
Andy,24/04/2020,None
Kelly,22/04/2020,None
Mahesh,21/04/2020,None
Mel,18/04/2020,"Ordered 2 chicken samosas, one was unfortunately lamb mince, can’t stand lamb.
Other than that everything was delicious"
Lynn,17/04/2020,None
Jay,16/04/2020,Always great food and service
Emily,13/04/2020,None
Calum,13/04/2020,None
Olorunda,12/04/2020,None
Olorunda,11/04/2020,The best egg fried rice I’ve ever had in my life.
Lee,10/04/2020,"Really good food at a great price. Fridays always use to be fast food day, before the lockdowns but with the fast food chains closed and Dominos offering rip off prices, we thought we’d try here. Will be happy to order again in the near future and maybe even when everything opens again we will still eat here."
Jamie,10/04/2020,£2.90 for a 1.25 ltr bottle of coke. Disgusting! Korma has next to no flavour. Partners pizza was almost flavourless. Wouldn’t go back here. Sorry.
Rajesh,10/04/2020,Very good. Quick delivery and food is excellent
Emma,10/04/2020,Food was worth the extra 10 minutes wait.will definitely order again
vishal,09/04/2020,None
Jay,09/04/2020,"Other than the onion relish being missed from order, as per usual amazing quality food!"
Christopher,09/04/2020,None
India,09/04/2020,Amazing food.. Will deffo order again
Karbonn,05/04/2020,The food was of epic proportions and delivery was early. Legends. If grandma's cooking was your favourite; this place will compete on the leaderboard. 10/10
David,05/04/2020,None
Mrs,04/04/2020,"Dilwar Pindi Express delivers without a doubt, the best Asian food in Reading. Stunning."
Mark,03/04/2020,"This was the 2nd time we’ve ordered from this restaurant. The food was top notch, the flavours couldn’t have been any more fresh tasting than if I was actually eating in house. The food was delivered very politely 10 mins early. We will absolutely be using them again."
Amanda,27/03/2020,None
Donna,27/03/2020,None
Robert,27/03/2020,The best! <3
Bhrijesh,25/03/2020,None
Jay,25/03/2020,None
Rachael,22/03/2020,None
Noon,16/03/2020,None
Kevin,13/03/2020,Great food but delivery charge now added over 10% to the cost!
Amarita,13/03/2020,None
bibesh,10/03/2020,None
Lauren,28/02/2020,None
Mark,28/02/2020,Always great food from here have used for many years highly recommend
Nandi,22/02/2020,"Tasty food, delivered quickly."
chloe,20/02/2020,"They called to make a change to part of the order which I agreed too... then turned up late, the food was cold. Pizza was bland and tasteless."
Mark,17/02/2020,"1st time using this restaurant, very tasty food rooked and presented very well. 
Will be using again."
Josh,15/02/2020,None
Sophie,14/02/2020,None
Aaron,14/02/2020,None
Charles,09/02/2020,None
Sivakumar,08/02/2020,None
Ella,08/02/2020,"Good portion sizes but the curries were lacking flavour, they’re a good level of spice but didn’t taste much else, plus one was very watery. Delivery was very quick, and the delivery man friendly."
Tamilya,07/02/2020,.
Bhrijesh,02/02/2020,None
Aaron,02/02/2020,2nd time ordering from here. Turned up early both times and food quality is excellent. Will definitely be ordering again!
Gladys,02/02/2020,None
Lisa,25/01/2020,"Food was ok , but not very hot . All items that were ordered we received . Wouldn’t order from here again"
Jenni,24/01/2020,Nice food. A lot more sauce than there should be but very tasty
Rachel,24/01/2020,None
Ben,17/01/2020,Burger had mayo on it I didn’t ask for it and pizza was bland 😡
Ruchika,17/01/2020,None
Simon,14/01/2020,"Quick, efficient collection times. Great food for us as always."
Philip,11/01/2020,Great quality beautiful  food always delivered early
Robert,11/01/2020,None
Kogs,07/01/2020,Delicious food and prompt delivery. Faultless
John,28/12/2019,"Always delicious and hot and tasty best takeaway for indian and fried chicken in the area, always use them, never disappointed  with the food."
Philip,24/12/2019,Great food as always
Ann,24/12/2019,First time we have ordered from Dilwar - Excellent food
Robin,20/12/2019,"I was very disappointed with the service I phoned three times and each call the response was. It will be with you in 10 minutes. None of this was true. It would be better if they were honest. The food is great tho when hot (ours was cold) I would recommend collecting from them or they could get some more drivers. 

The longevity of the business is at risk if you dont take on board feedback. Im not one to usually leave feedback but in this instance I was very disappointed as my previous experiences have been alot better."
Matt,20/12/2019,None
Sam,14/12/2019,None
Rob,14/12/2019,None
Jen,13/12/2019,None
Sarah,13/12/2019,None
kate,12/12/2019,Lovely meal thank you.
Wenhai,11/12/2019,This is my second time order. Absolutely fantastic . The food is sooooo yummy .
Lana,07/12/2019,"Really sorry to say that we’re so disappointed with this food, literally couldn’t eat it and we’re not particularly fussy eaters. Had to order something else."
Jayaram,05/12/2019,Good food
shivani,03/12/2019,None
My,29/11/2019,None
Bobby,27/11/2019,Food wasn't as nice as expected. Not bad but definitely not great.
Mal,25/11/2019,The food has a strange cardboard/ plastic taste to it. I think the box they use affects the taste. Used to be a great restaurant but since got took over its awful.
Ben,21/11/2019,"This is genuinely our favourite curry takeaway. Tonight’s order was a little late, the only time that’s happened, but the food was worth it. Their curries are thick and flavourful - we love trying out their whole menu! 

The coconut ice cream is lovely too!"
Priya,21/11/2019,None
kate,15/11/2019,None
Matthew,15/11/2019,"Really tasty and good choice, fast service and friendly driver will order from here again"
Nasri,09/11/2019,Got wrong items no salt on everything
Philip,08/11/2019,Dilwar Tandoori is probably the best Indian takeaway in Reading. Normally order directly but so easy through the just eat app. Food was great and turned up early.
Edward,05/11/2019,None
Fadel,04/11/2019,"Great service, fast delivery."
Chris,02/11/2019,"Food was cold and popadoms were soft as if they were old. Main was bland and generally not nice.
Naan bread was hard and tasteless.
Not great sorry but not going to use again."
graham,28/10/2019,"I ordered a Chicken Tikka Biryani which the rice was soggy and not enough chicken and tastless, the vegetable curry contained only peas and one potato, I don't think I will order from them again"
MARCIN,27/10/2019,Was not delivered
Phoebe,19/10/2019,Naan was cold but amazing food for a good price
John,19/10/2019,None
Megala,18/10/2019,"Same coloured paneer distributed to shaslik and saag paneer.
Shaslik just had grilled tomato and onion and paneer from some other leftover item 
Was chewy and hard"
Lynn,18/10/2019,None
Jen,18/10/2019,Food was delicious fresh and hot.
Matt,12/10/2019,Very nice food. Great service. Will recommend to anyone. Keep it up guys.
Martin,12/10/2019,None
Kristina,11/10/2019,None
sally,08/10/2019,None
bibesh,05/10/2019,None
kate,04/10/2019,"Lovely food, very tasty."
Matt,04/10/2019,None
Amarita,04/10/2019,None
Hafsa,29/09/2019,Not bad
Matt,28/09/2019,None
phil,28/09/2019,None
Richard,26/09/2019,"In particular, egg fried rice and lamb tikka were very nice. Very early delivery, which was impressive given our late order time."
Harsh,20/09/2019,Superb delivery...very quick and food was super hot like it's just out of cooking pot. Taste was really good and we enjoyed the food. Thanks.
Martin,06/09/2019,None
Syed,04/09/2019,"Dish we order wasn't available but staff was nice and polite and offered slightly expansive dish instead for same price. Portion size was very decent. Although this place is 4 miles away from our home, food was delivered hot and in time. Happy with service, would definitely order again."
Mohammed,02/09/2019,I ordered biryani for myself and chicken rezala for my wife and both tasted amazing! To be honest haven’t tasted biryani like that in the Uk in last 4 years. Will deffo order again.
Andrea,31/08/2019,None
William,27/08/2019,None
Wenhai,27/08/2019,None
Poppy,22/08/2019,"Great food & service! Thank you, will order again"
martyn,18/08/2019,None
sally,18/08/2019,None
Robin,16/08/2019,Collected because were quoting up to an hour delivery. However the food was outstanding and very good value. Would recommend to anyone. Very nice staff.
Mark,10/08/2019,Best chicken tikka jalfrezi in town
Michelle,10/08/2019,None
helen,09/08/2019,None
Richard,06/08/2019,Brilliant Curries Highly Recommended
jemma,03/08/2019,None
Martin,01/08/2019,None
Edward,31/07/2019,None
JASON,30/07/2019,None
Raghunath,26/07/2019,Excellent
Ashley,20/07/2019,None
zoe,17/07/2019,VERY GOOD
Taff,13/07/2019,"First time trying these guys. Quick delivery. Food was piping hot, and very tasty. I always have lamb Pathia. Always a good test. The lamb should fall apart and not be chewy. Mine was beautifully tender with a lovely well seasoned taste. The sauce was perfectly spiced. I really enjoyed it and recommend. My thanks to the team."
Steve,13/07/2019,Great service food was very nice and pipping hot when delivered
Shubhendu,10/07/2019,None
Jordan,10/07/2019,"The egg fried rice was more like egg in rice, the curry sauce was just runny and flavourless, the chicken and onion in the curry was big chunks were not cut properly, the poppadoms was burnt, the delivery was 20 mins late with no apologies from the driver, overall service and quality was shocking"
Keiran,07/07/2019,I ordered two bottle of coke one come a 1.25 litre and then a 1 litre I do not think that the bottle should be that small for £2.90
Ashwin,05/07/2019,Ordered chicken biryani but given vegetable biryani
Megala,04/07/2019,None
suyanthan,02/07/2019,"Food was awful 
Delivered on time"
Matt,28/06/2019,None
Steven,28/06/2019,None
Jada,27/06/2019,"The food from Dilwar never ever disappoints. Our favourite dishes are keema naan, pilau rice, lamb or chicken tikka starter, and the Dilwar speciality lamb or chicken tikka masala. Never had a bad experience, perfect food every time!"
Sumit,22/06/2019,None
Jasmine,21/06/2019,None
Callum,18/06/2019,None
Susan,17/06/2019,None
Lisa,16/06/2019,None
Claire,15/06/2019,"Totally worth the wait. Delicious
Thank you. Will order a bit earlier next time! X"
Megala,14/06/2019,None
Matt,12/06/2019,None
michelle,08/06/2019,Best yet
Martin,07/06/2019,None
Kamran,04/06/2019,None
Lisa,03/06/2019,Food was cold and watery. The chicken curry was meant to come in a yoghurt sauce but was mainly water. The chicken was tough and very chewy. The Paneer was under cooked and more like cold rubber than cooked cheese. The Naan was cold and the rice was mixed pilau with cold mushrooms thrown on top. All in All very disappointed and I ended up throwing the whole meal away
Sharath,01/06/2019,None
Chris,31/05/2019,None
